 EpsilonGreedy Cumulative Reward: 418.0
EpsilonGreedy Total Regret: 31.999999999999467
UCB Cumulative Reward: 369.0
UCB Total Regret: 81.00000000000044
ThompsonSampling Cumulative Reward: 423.0
ThompsonSampling Total Regret: 26.999999999999346
EpsilonGreedy Cumulative Reward: 437.0
EpsilonGreedy Total Regret: 13.000000000000153
UCB Cumulative Reward: 381.0
UCB Total Regret: 68.99999999999997
ThompsonSampling Cumulative Reward: 445.0
ThompsonSampling Total Regret: 5.000000000000149
gaussian | GaussianUCB | Run 1 | Cumulative Reward: 63.062708655103464 | Total Regret: 36.93729134489653
gaussian | GaussianThompsonSampling | Run 0 | Cumulative Reward: 71.28357927999409 | Total Regret: 28.716420720005928
gaussian | GaussianThompsonSampling | Run 1 | Cumulative Reward: 73.13562200471235 | Total Regret: 26.864377995287658
bernoulli | EpsilonGreedy | Run 0 | Cumulative Reward: 804.0 | Total Regret: 96.00000000000004
bernoulli | EpsilonGreedy | Run 1 | Cumulative Reward: 729.0 | Total Regret: 171.00000000000003
bernoulli | EpsilonGreedy | Run 2 | Cumulative Reward: 679.0 | Total Regret: 221.00000000000003
bernoulli | EpsilonGreedy | Run 3 | Cumulative Reward: 868.0 | Total Regret: 32.00000000000001
bernoulli | EpsilonGreedy | Run 4 | Cumulative Reward: 862.0 | Total Regret: 38.00000000000001
bernoulli | EpsilonGreedy | Run 5 | Cumulative Reward: 829.0 | Total Regret: 71.00000000000004
bernoulli | EpsilonGreedy | Run 6 | Cumulative Reward: 854.0 | Total Regret: 46.00000000000002
bernoulli | EpsilonGreedy | Run 7 | Cumulative Reward: 812.0 | Total Regret: 88.00000000000004
bernoulli | EpsilonGreedy | Run 8 | Cumulative Reward: 707.0 | Total Regret: 193.00000000000003
bernoulli | EpsilonGreedy | Run 9 | Cumulative Reward: 830.0 | Total Regret: 70.00000000000003
bernoulli | EpsilonGreedy | Run 10 | Cumulative Reward: 855.0 | Total Regret: 45.000000000000014
bernoulli | EpsilonGreedy | Run 11 | Cumulative Reward: 821.0 | Total Regret: 79.00000000000003
bernoulli | EpsilonGreedy | Run 12 | Cumulative Reward: 851.0 | Total Regret: 48.999999999999986
bernoulli | EpsilonGreedy | Run 13 | Cumulative Reward: 775.0 | Total Regret: 125.00000000000003
bernoulli | EpsilonGreedy | Run 14 | Cumulative Reward: 864.0 | Total Regret: 36.0
bernoulli | EpsilonGreedy | Run 15 | Cumulative Reward: 813.0 | Total Regret: 87.00000000000004
bernoulli | EpsilonGreedy | Run 16 | Cumulative Reward: 805.0 | Total Regret: 95.00000000000003
bernoulli | EpsilonGreedy | Run 17 | Cumulative Reward: 870.0 | Total Regret: 30.000000000000004
bernoulli | EpsilonGreedy | Run 18 | Cumulative Reward: 877.0 | Total Regret: 23.000000000000007
bernoulli | EpsilonGreedy | Run 19 | Cumulative Reward: 682.0 | Total Regret: 218.0
bernoulli | KL-UCB | Run 0 | Cumulative Reward: 871.0 | Total Regret: 29.000000000000004
bernoulli | KL-UCB | Run 1 | Cumulative Reward: 872.0 | Total Regret: 28.0
bernoulli | KL-UCB | Run 2 | Cumulative Reward: 869.0 | Total Regret: 30.999999999999996
bernoulli | KL-UCB | Run 3 | Cumulative Reward: 867.0 | Total Regret: 33.00000000000001
bernoulli | KL-UCB | Run 4 | Cumulative Reward: 865.0 | Total Regret: 35.0
bernoulli | KL-UCB | Run 5 | Cumulative Reward: 861.0 | Total Regret: 39.00000000000001
bernoulli | KL-UCB | Run 6 | Cumulative Reward: 860.0 | Total Regret: 40.0
bernoulli | KL-UCB | Run 7 | Cumulative Reward: 894.0 | Total Regret: 6.00000000000001
bernoulli | KL-UCB | Run 8 | Cumulative Reward: 860.0 | Total Regret: 40.0
bernoulli | KL-UCB | Run 9 | Cumulative Reward: 891.0 | Total Regret: 9.000000000000009
bernoulli | KL-UCB | Run 10 | Cumulative Reward: 863.0 | Total Regret: 37.00000000000001
bernoulli | KL-UCB | Run 11 | Cumulative Reward: 866.0 | Total Regret: 34.0
